CustomerID,Frequency,Monetery,Recency,F_SCORE,M_SCORE,R_SCORE,RFM_SCORE,segment
12346,1,77183.6,326,1,5,1,7,SomeWhat Loyal
12347,7,4310.0,2,5,5,5,15,Champion
12348,4,1797.24,75,4,4,2,10,Loyal
12349,1,1757.55,19,1,4,4,9,Loyal
12350,1,334.4,310,1,2,1,4,Others
12352,8,2506.04,36,5,5,3,13,Champion
12353,1,89.0,204,1,1,1,3,LOST
12354,1,1079.4,232,1,4,1,6,SomeWhat Loyal
12355,1,459.4,214,1,2,1,4,Others
12356,3,2811.43,23,3,5,4,12,Loyal
12357,1,6207.67,33,1,5,4,10,Loyal
12358,2,1168.06,2,2,4,5,11,Loyal
12359,4,6372.58,58,4,5,3,12,Loyal
12360,3,2662.06,52,3,5,3,11,Loyal
12361,1,189.9,287,1,1,1,3,LOST
12362,10,5226.23,3,5,5,5,15,Champion
12363,2,552.0,110,2,3,2,7,SomeWhat Loyal
12364,4,1313.1,8,4,4,5,13,Champion
12365,2,641.38,291,2,3,1,6,SomeWhat Loyal
12367,1,168.9,4,1,1,5,7,SomeWhat Loyal
12370,4,3545.69,51,4,5,3,12,Loyal
12371,2,1887.96,45,2,4,3,9,Loyal
12372,3,1298.04,72,3,4,3,10,Loyal
12373,1,364.6,311,1,2,1,4,Others
12374,1,742.9300000000001,25,1,3,4,8,SomeWhat Loyal
12375,2,457.5,11,2,2,5,9,Loyal
12377,2,1628.12,315,2,4,1,7,SomeWhat Loyal
12378,1,4008.62,130,1,5,2,8,SomeWhat Loyal
12379,2,852.24,82,2,3,2,7,SomeWhat Loyal
12380,4,2724.81,22,4,5,4,13,Champion
12381,5,1845.31,5,4,4,5,13,Champion
12383,5,1850.56,185,4,4,1,9,Loyal
12384,2,585.27,29,2,3,4,9,Loyal
12386,2,401.9,338,2,2,1,5,SomeWhat Loyal
12388,6,2780.66,16,4,5,4,13,Champion
12390,1,549.84,80,1,3,2,6,SomeWhat Loyal
12391,1,460.89,22,1,2,4,7,SomeWhat Loyal
12393,4,1582.6000000000001,72,4,4,3,11,Loyal
12394,2,1272.48,64,2,4,3,9,Loyal
12395,12,3018.63,19,5,5,4,14,Champion
12397,2,2409.9,36,2,5,3,10,Loyal
12398,1,1635.6599999999999,46,1,4,3,8,SomeWhat Loyal
12399,4,1108.65,119,4,4,2,10,Loyal
12401,1,84.3,303,1,1,1,3,LOST
12402,1,225.6,323,1,1,1,3,LOST
12403,1,427.7,50,1,2,3,6,SomeWhat Loyal
12405,1,1710.39,149,1,4,2,7,SomeWhat Loyal
12406,2,3415.3,22,2,5,4,11,Loyal
12407,5,1708.1200000000001,50,4,4,3,11,Loyal
12408,5,2888.55,33,4,5,4,13,Champion
12409,3,11072.67,79,3,5,2,10,Loyal
12410,2,693.3299999999999,309,2,3,1,6,SomeWhat Loyal
12412,3,1226.88,75,3,4,2,9,Loyal
12413,3,758.1,67,3,3,3,9,Loyal
12414,3,562.41,217,3,3,1,7,SomeWhat Loyal
12415,21,124914.53,24,5,5,4,14,Champion
12417,9,3649.1,3,5,5,5,15,Champion
12418,1,668.58,113,1,3,2,6,SomeWhat Loyal
12420,1,600.39,64,1,3,3,7,SomeWhat Loyal
12421,4,807.04,16,4,3,4,11,Loyal
12422,3,803.5600000000001,96,3,3,2,8,SomeWhat Loyal
12423,8,1859.31,1,5,4,5,14,Champion
12424,2,1760.96,163,2,4,2,8,SomeWhat Loyal
12425,1,777.2,78,1,3,2,6,SomeWhat Loyal
12426,1,582.73,195,1,3,1,5,SomeWhat Loyal
12427,3,825.8,22,3,3,4,10,Loyal
12428,9,7956.46,26,5,5,4,14,Champion
12429,4,3750.4,9,4,5,5,14,Champion
12430,1,256.4,43,1,2,3,6,SomeWhat Loyal
12431,15,6487.45,36,5,5,3,13,Champion
12432,5,5059.32,43,4,5,3,12,Loyal
12433,7,13375.87,1,5,5,5,15,Champion
12434,2,806.14,85,2,3,2,7,SomeWhat Loyal
12435,2,7829.89,80,2,5,2,9,Loyal
12436,1,509.01,100,1,3,2,6,SomeWhat Loyal
12437,18,4951.41,2,5,5,5,15,Champion
12438,2,2906.85,14,2,5,4,11,Loyal
12441,1,173.55,367,1,1,1,3,LOST
12442,1,172.06,3,1,1,5,7,SomeWhat Loyal
